,review_es
258,"No está familiarizado con las estaciones de televisión estadounidenses, cuando entré a esto en el cable de mis suegros, primero pensé que era solo una película de ciencia ficción de bajo presupuesto, luego después de un par de minutos comencé a pensar que podría ser un inteligidor. Sátira en los peores excesos del fundamentalista cristiano, y luego me amó: ¡buena pena, estas personas son serias! Ha pasado un tiempo desde que vi algo tan hilarante involuntariamente. Dudé sobre escribir una revisión de esto por temor a los creyentes ofensivos, pero luego vi otras críticas y pensé, oye, pueden tomarlo. Tought Filosophical Ennserrum: ¿Cómo se hace una película que critica las películas sin mostrar realmente qué es que estás criticando? Respuesta: Hazlo de tal manera que las únicas personas que aprecian son personas que odian el tipo de películas que estás criticando. Supongo que algunos liberales (Ugh! ¡Escupir cuando dices eso!) Podría ser ofendido en el desprecio de los cineastas por aquellos en la audiencia que no están obsesionados con el mito J **** C *****, pero no lo hice ¡La mente, fue tan divertida!"
259,"Basta con decir que, a pesar del extraño panegírico ridículo a su SOI desanimado ""habilidades"" publicadas aquí, el director de este inepto, Odious Tosh no ha hecho una película desde entonces.Bueno, esa es una excelente noticia en lo que a mí respecta. Los bebés tienen toda la bilis de su creador, pero carece de la ingenio y la competencia técnica que hacen que Martin amis sea el novelista legible. Cuando la industria de cine británica se despertará y se dará cuenta de queSi quiere recuperar el estado, una vez, ¿debería dejar de producir basura como esta y hacer algo que la gente real realmente querrá ver? Evita como la plaga."
260,"¿Alguien logró meterse en esta película? Es un lío total para mí: un vago contexto histórico / sentimental en lugar de una trama, una imagen pretenciosa como la escena de MISE EN y dura dos horas. Vergüenza en aquellos que perdieron dinero aquí."
261,"Pobre actuaciones de Sinatra, Martin e Hyer.Personajes de apoyo excesivamente subdesarrollados.Talky molesto sin parcela real.Terminando te deja más plano que un panqueque, con más puntas sueltas de lo que podría atar en cuatro secuelas (es decir, si incluso le importan estos personajes de madera).MacLaine es el único activo real.Esa secuencia penúltima en la que la ""Capucha de Chicago"" busca el carácter de Sinatra es risible.La música en esa secuencia también es pobre.Y en la escena final cuando el personaje de Martin elimina su sombrero para la mujer que llamó ""cerdo"", casi me hizo salir y encontrar una piedra para lanzar mi pantalla de televisión."
262,"Después de ver los créditos con un solo nombre que reconozco y ese fue el predicador en esta película (Russ Conway), no esperaba mucho de esta película y no me decepcionó.Un hombre está planeando matar a su nueva esposa convenciendo a otras personas que está loca y tomará su propia vida.Desconocido al marido es que el cráneo de aspecto plástico que usa, en contraste, un fantasma de una mujer, aparentemente, su primera esposa muerta se ha vengado de su mente y usa un cráneo real.Una trama simple con un giro de ironía al final.Si está cansado tarde una noche y necesita dormir, esto lo ayudará a dormir ese sueño."
263,"¿Alguna vez tuvo una de esas noches cuando no podías dormir y simplemente encendí el tubo para ver qué estaba? Así es como corrí a través de esta tripa. Por mí mismo, me habría servido mejor lanzando y girando durante los 97 minutos que desperdicié con esta película. En su intento de ""ser real"", los personajes de esta película se desprenden como los estereotipos de gangsta que la historia debería haber sido la premisa de un wayans. Película de los hermanos. El diálogo? ¡Por favor! Sonaba como un hombre blanco se estaba esforzando demasiado para escribir esta película. La edición era horrible. Una de mis escenas ""favoritas"" involucró a un automóvil perseguir un montón de callejones estrechos. Sin embargo, corta a los personajes que se persiguen, y están conduciendo a través de un parque completo con campos de béisbol en el fondo. Cuando cualquiera de nuestros ""homies"" se dispara en esta película, sangra milagrosamente a través de la ropa que no tiene agujeros, lo que es más de lo que puedo decir por la trama de esta carga predecible de ... Baking Soda.Die Films puede ser excelente, incluso si son bajos en presupuesto y efectos, pero aún deben tener una integridad cinematográfica. Si pudiera haberlo dado un 0, lo haría. Si lo ves, espero que esté en el cable, porque incluso el alquiler más barato sería demasiado para pagar. En realidad, 97 minutos fue demasiado para pagar ..."
264,"Esta es una de esas películas donde la actuación, establece la ubicación, la dirección y los efectos, fueron tan malos que necesitas para alquilar una copia obtener 5 o 6 amigos, un barril de cerveza, sentarse y verlo. Para pedir prestado el difunto Douglas Adams, ""viendo esta película, será como si tuviera tus cerebros golpeados por una rebanada de limón ... envuelto alrededor de un gran ladrillo de oro"". ¿Qué está mal? Todo. Los actores británicos posicionan como estadounidenses, ha habido muchos que pueden sacarlo como Bob Hoskins, pero él no está en este caso. Ni siquiera era necesario elegir América del Norte como un lugar, ¿por qué no decir que tuvo lugar en Inglaterra o algo así? A el director le pareció que les gusta tomar tomas de tetas y culos más que en realidad obtener algún tipo de motivación de caracteres. Entonces, en este punto, los amigos de borrachos estarán diciendo: ""¡De acuerdo! Otro tiro de T & A!"". No hay mucho diálogo, así que siéntete libre de saltarse a la cocina y hacer esos sándwiches. ¿Qué me gustó de esta película? Después de que mis amigos se desmayaron, logré recolectar $ 185 de ellos y les dije que lo gastaban en la barra de striptenes después de haber terminado de ver la horrible película."
265,"Las vistas limitadas del paisaje fueron la única gracia de ahorro a una película sin incidentes y aburridas.La actuación fue absurda del borde, que culpo al guión y el guión.Nicole Eggert no miró la parte, no actuó la parte, y fue totalmente poco convincente como guía de montaña.Después de ver esto, me quedaba con la sensación de que algunos amigos tenían un tiempo libre y decidieron hacer una película.Debe haber sido producido en un presupuesto de cambio de bolsillo.La trama era delgada en el mejor de los casos y con el bajo calibre de actuación a veces, le rogó la pregunta: ""¿Por qué estamos haciendo esto?"".Me las arreglé para sentarme en toda la película, pero también me pregunté a mí mismo: ""¿Por qué?""."
266,"Alquilé esta película sobre los méritos de lo que mostró el remolque, y, por supuesto, Sir Anthony Hopkins. Si Jackson Pollack se asoció con David Lynch, y Timothy Leary para hacer una película, este sería el resultado final. No creo que haya visto una película como la que hizo que un viaje de LSD se vea como un episodio de Sesame Street. Es un montón de piezas de establecimiento donde los personajes parpadean y salen de la realidad, o varias realidades, y la película no 'T Culminate en cualquier cosa hasta los últimos 5 minutos, donde de repente tiene sentido. Escribí una revisión mordaz en mi blog de revisión de la película que esencialmente le da todo, y no lo haré aquí. Es una pieza de cine bien actuada, y la banda sonora fue escrita por Sir Anthony Hopkins, y déjame decir esto, si hay una característica canjeada a esta película, es la música. Queda perfecto. Un poco de diálogo es increíblemente bueno, y increíblemente malo, todo al mismo tiempo. Disfruté de algunas partes de esta película, realmente lo hice, y una vez que llegas al final, en realidad descubrirás lo que realmente está pasando. Es desafortunado que tenga que navegar hasta 2 horas de locura para llegar a un punto saliente, lo que minimiza el efecto de toda la película. Le doy un 3 de cada 10 por el simple hecho de que el verdadero problema con esta película no es La actuación, es todo."
267,"La peor secuela que he visto. ¡Canciones realmente horribles que están molestando considerando lo fantástica que es la primera puntuación y la historia de las primeras películas! Además, que ruina la película para mí es el hecho de que no hay John Cleese, así que Jean Bob podría ni siquiera estar en ella y los nuevos villanos son terribles. Es realmente molesto cómo esa cosa de la anciana tipo no puede cadear una oración simple juntos sin repetir sus palabras una y otra vez. Pero ser justo Uberta, no cerrarse, es un poco divertido. Pero el hecho de que fuera su 50 cumpleaños: ¿Por qué los dibujan pareciendo un niño de 80 años? Iba a dar esto a 1, pero ahora creo que ... podría darle un 2. Pero aún así, la línea de la historia no es tan buena como la primera película. Es similar sin el humor de ciertos personajes. En general, no me gustó esta película por completo debido a la música decepcionante, la grave falta de talento de voz: haber cambiado la voz del príncipe Derek y Jean Bob, los nuevos villanos, la decepcionante historia de los hábitos molestos de algunos personajes y la animación muy simple."
268,"Película absolutamente ridícula que se burla del proceso de admisión de la universidad.Si bien es cierto que el SAT no es todo lo que está evaluando a un estudiante para la admisión a la universidad, de lo que la película habla es absolutamente ridícula y no vale la pena repetir ni votar. Se hacen los funcionarios de la admisión de College para parecerse a personas estúpidas que tienen una vista extremadamente estrecha.de todo el proceso.La película es un insulto a los estudiantes de secundaria trabajadores que trabajan duro y luego tienen que sufrir un largo proceso hasta que reciban esa carta de aceptación o rechazo de las escuelas que han solicitado.Esta película ciertamente merece rechazo en todos los niveles."
269,"Si está esperando algo nuevo, ha elegido la película incorrecta.Quién puede pensar que una película que es una repetición virtual de sus predeccesores puede ser buena.Tal vez el productor y tal vez el director, pero con suerte, no sean graves cuando hicieron esto.Toda esta película es como hacer un DVD de éxitos más grandes de las 1ª película, pero cambiando a los actores.Bhhaaaad."
270,"Incluso en sus gafas con modo geek, Kathy Irlanda es muy fácil en los ojos, pero su actuación no es fácil de ver.La mayoría de los actores en la película se llevan por encima de la parte superior (más allá de ""diversión del camping"") o actuar ligeramente avergonzados por estar allí.Los efectos y la banda sonora son nada especial y bastante bajo presupuesto.La línea de la trama realmente estira la capacidad de suspender la incredulidad.Atrapa a este para reírse de que se encuentra en un canal de películas premium o en la red sábado por la tarde de televisión, pero no cinturon el dinero en esta cosa. Una mención digna para los propósitos de la trivia es que uno de los Mobsters subterráneos es jugado por Deep Roy.Deep es ahora famoso por jugar (y hacerlo bien) todos los Loompas de Oompa en ""Charlie y la fábrica de chocolate de Burton""."
271,"This was the WORST Christmas movie I ever saw I took my two small children to see this It was the darkest, most dismal plot- family has no money, mom loses her job, father gets killed in the bank, bank robber steals family car with both kids in the back and after high speed chase, drives off the bridge and drowns them in the river Mom is left all alone No wonder her Christmas spririt is gone Christmas angels do not rescue children that have drowned, and Santa does not bring back dead fathers! I thought this was the WORST message to send children Better to tell them that there is NO Santa than show them a movie like this!!"
272,"No hay nada que odie más en una película que pretención, y esta es una de las películas más pretenciosas jamás hechas. Es obvio de la autoconciencia en cada marco: ""Vea lo que estamos haciendo una película profunda, sofisticada,"" El director y los guionistas parecen estar diciéndonos, y para ellos mismos dicen: ""Lets's vea cómo podemos aburrir y confundir el audiencia aún más "". Prefiero ver la peor película por Ed Wood o Edgar G. Ulmer que algo así. Al menos nos estaban dando una basura honesta, y al menos sus películas, a su manera atroz, fueron entretenidas. Esta película es tan entretenida como un canal de la raíz sin anestesia, y por lo tanto es equivalente a la tortura. ¿Tienes que estos guionistas alguna vez escucharon la palabra ""historia?"" No aparece así. Tienen un concepto, son capaces de crear una atmósfera, y pudieron reunir un excelente reparto y provocar buenas actuaciones de ellos. ¿Y para qué? ¿Para aburrirnos durante una hora y 45 minutos? Nada realmente sucede en esta película. La única parte emocionante, y esto dura solo unos dos minutos, ocurre cuando uno de los propietarios de propietarios próximos a ser desalojados comienza a disparar a los empleados del estado que vienen a decirle que tiene que irse. Pero nada viene de ello. Lástima que no siguiera disparando hasta que golpeó a los guionistas. Las únicas características redentoras de esta película son la actuación y algunos paisajes bellamente fotografiados hacia el final. 3/10"
273,"Es dolorosamente obvio que las personas que hicieron esta ""película"" nunca han visto falsas brillantes como ""la pistola desnuda"" y ""tomas calientes"".Esta película es terrible, y también lo son los actores.No sabrían que actuarían, incluso si los golpeaba en la cara, como me sentía como hacerlo mientras observaba este pila total de basura. La película es estúpida y no tiene humor en él, entonces.Estoy seguro de que podría hacer una mejor película con mis amigos.Para mí, es increíble que una película pueda fallar tanto.No es una sola línea inteligente o divertida.No hay rastro de inteligencia detrás de él.Es una película patética y me gustaría conocer a la persona que realmente le gusta esta película.¡Tus!"
274,"Un revoltijo genuinamente extraño y surrealista de ideas visuales que probablemente se veía extremadamente desconcertante en la página impresa;Justo lo que dibujó Robert Redford al proyecto, uno nunca puede saber.Sidney J. Furie dirige este viaje de Knockabout de un corredor de motocicletas egotísticos que lleva un juvenil milquetoajado bajo su ala;El niño mira hacia este antihéroe, y eventualmente comienza a simular su amoralidad.Sin duda, aunque, para algunos, la vista de Redford deshabilitando, a punto de desvestirse, o haber sido deshonrado podría ser suficiente para justificar la atención.Lauren Hutton también se desnuda, sin embargo, todos los destellos sexy son solo los teasers para la mente prurient;Simplemente no hay historia.Tal vez Furie estaba haciendo un comentario esotérico sobre Wheelers Feckless y su bandada alrededor de 1970. Si es cierto, entonces este enfoque de generación pre-en blanco se remonta, ya que la película no era un éxito.* 1/2 de ****"
275,"Esta serie y el oro de Elon estaban siendo hinchados como ""la siguiente gran cosa"" en comedias para NBC.Bueno, no lo eran.Dennis Farina fue terriblemente mal difundida como el suegro.Él solo parecía tan incómodo y fuera de lugar aquí.¡El término, ""Privado"" Time '! ""Se suponía que se convirtió en el ""dino-ácaro""!Coger la frase del siglo XXI.Bueno, no lo era.La gente preguntaba entonces, ya que todavía son hoy (cuando aparece su nombre), ""¿Quién demonios es el oro de Elon?""Lo vi en un episodio de ""The Mentalist"" esta noche.Mencioné su nombre, y mi novia preguntó: ""¿Quién?""No es divertido.Residuos totales de tiempo de aire.NBC tenía muchas esperanzas muy altas para este espectáculo, pero simplemente se cayó plana."
276,"Oh, Dios mío, le doy a esta película tres estrellas de cada diez por las siguientes razones. La secuencia final se maneja de manera bastante efectiva y fue absolutamente hilarante. Eso es lo que hace esos tres puntos. Aparte de eso, fue atroz. No estaba destinado a ser tan gracioso, mucho es obvio, pero el doblaje, la actuación de las voces denominadas, el diálogo diálogos, donde a menudo son hilarantes. Las acciones realizadas, y / o no realizadas también conducen a mucha hilaridad y / o lanzando cosas en la pantalla. como cuando toda la ciudad está siendo sacrificada y un pequeño grupo de personas se encuentra en un balcón que mira como si estuvieran viendo un vaso de cocción, o el ""intento"" se escapa de la iglesia en la que hicieron el agujero. Incluyo: creo Algo está pasando afuera, así que debes subir las escaleras y mirar por la ventana .Hero: OK.EVIL MAYOR: Ahora es mi oportunidad de hacer que un poco de idiota salga afuera y se deslice con Fuego por ser totalmente ineficaces y siendo hackeado. Secuencia en la que Esto ocurre.Evil de alcalde: Maldita sea, espera, obtendré a este niño pequeño y ella caminaré afuera y lloraré a Pappa aparentemente obviamente obvio para el hecho de que esos cadáveres podridos no son simplemente extraños espeluznantes, sino que son zombis sin carne ni piel ni nada. Ella los librará y huiré! Inserte la secuencia en la que esto ocurre. Thero (arriba): Él está tratando de volver a escapar, tonto, y él ha dejado la puerta abierta, es tonta, esta es una bonita vista. A. ¿Dónde está mi hija? Hero (abajo ahora ): No lo sé, no puedo verla de todos modos y ella no estaba afuera porque no podía verla a pesar de que estaba ahí fuera y yo teniendo una visión de todo el vecindario y ella está de pie justo afuera, ¿dónde podría ser la tierra? No hace falta decir que cualquiera estaría lanzando cosas en la pantalla después de 10 minutos de esto. Entonces, mire la primera película con un par de amigos, teniendo unas copas, y asegúrese de que llegue a ver este, está absolutamente borracho ciegamente y simplemente puede reírse a la estupidez de todo. Y ni siquiera había ningún gore decente, una vergüenza."
277,"Hermosas cuerpos, colores magníficos y trabajos de cámara, diálogo pretencioso, parcela banal.El nombre de la prima donna, camilla y las flores del mismo nombre que aparecen con frecuencia, son suficientes para recordarnos las similitudes de la trama de la novela La Dame Aux Camelias, la película Camille protagonizada por Garbo y (creo) Robert Taylor y la últimaPero no menos importante la ópera La Traviata de Verdi.Señoras jóvenes hermosas, no demasiado virtuosas, los marginados sociales por una razón u otra, amados, se dividieron, se reunieron justo a tiempo para morir de tuberculosis en la última escena ... uno perdona parcelas banales y un estúpido diálogo poco realista en la ópera, pero¿Por qué perder Hayak, Don Sutherland, una hermosa interpretación de Los Ángeles en los años 30, un terremoto de Deus Ex Machina que mata convenientemente a la otra mujer, y toda esa belleza en este Turquía mediocre, donde ni siquiera hay un canto hermoso?"
278,"Al comienzo de la película, puede verificar la cubierta de DVD y volver a leer la sinopsis un par de veces, pero sin preocupaciones. No son ""memorias de una geisha"" que haya comprado; Solo una película con una introducción que es mucho más elegante y elegante de lo que tiene derecho a ser. Aún así, la apertura es, con mucho, lo mejor de toda la película, ya que muestra cómo en el año 1840 un maestro de Samurai Sword captura a su esposa cometiendo adulterio. Decapita a los dos amantes antes de hacer algo de Hara-Kiri (suicidio ritual a través del desmejoramiento). Corte para actualizar, cuando el embajador estadounidense en Japón da la bienvenida a una familia hisptrope y las impulsa a la misma casa donde se realizó la matanza antes mencionada hace casi un medio siglo. A partir de entonces, esto se convierte en una película aparentemente encantadora de la casa, pero el script absolutamente retrasado e inverosímil todavía lo hace un tanto excepcional. Comencemos con los buenos aspectos, a saber, el entorno japonés original y la presencia de la deliciosa Susan George, que es mi moza de horror británico favorita de todos los tiempos (bueno, junto con Britt Eckland, Linda Hayden e Ingrid Pitt). Los aspectos malos simplemente incluyen que el guión es incoherente, imbecílico más allá de la reparación y llena de giros supuestamente inquietantes que solo evocan la risa. Los espíritus inquietos de la casa pronto comienzan a entretenderse al perpetrarse en los cuerpos de los nuevos inquilinos y hacer que hagan y dicen todo tipo de cosas locas. ¡El espíritu de la mujer adúltera masacrada disfruta especialmente apretando el botín deslumbrante de Susan y la transforma en una seductora LEWD! En este estado ""poseído"", incluso atrae al embajador estadounidense afuera para tener relaciones sexuales en el jardín de una fiesta de alta sociedad, una parte llena de invitados prominentes. Entonces, estrictamente hablado, no es realmente ""malvado"" que mora en la casa; ¡Solo un trío de fantasmas sleazos con mentes sucias y demasiado tiempo libre en sus manos muertas largas! Obviamente, estas escenas son más cómicas que aterrador, especialmente, ya que las formas azules y transparentes le recuerdan a los efectos de los lindos fantasmas que luego fueron popularizados en ""Ghostbusters"". ""La casa donde mora el mal"" es probablemente la película fantasma menos aterradora. A lo largo de la mayor parte del tiempo de ejecución, se preguntará si el director Kevin Connor (que, sin embargo, hizo las excelentes películas de terror ""Motel Hell"" y ""desde más allá de la tumba"") intencionalmente quería hacer que su película sea divertida y sobre la cima, Como ""Motel Hell"" Tal vez. Pero, de nuevo, todos en el reparto continúan hablando sus líneas con una cara recta y sincera, así que supongo que, sin embargo, se supone que debemos tomar todo en serio y sentirnos perturbados. ""La casa donde mora el mal"" nunca es suspensiva o incluso emocionante de forma remota y ni siquiera contiene imágenes espeluznantes aparte de la masacre al principio. Soy plenamente consciente de lo superficial, suena, pero las dos escenas en las que Susan George va en topless son los únicos puntos destacados verdaderos. Bueno, esos y quizás también la invasión de arañas de gran tamaño y ridículas (o son cangrejos) en la habitación de la hija. ¿Qué tan totalmente aleatorio e irrelevante fue eso? Si alguna vez decides dar a esta película una oportunidad a pesar de su mala reputación, asegúrese de dejar su sentido común y su razonamiento en la puerta de la puerta. Nota de TRIVIA para los buffs de terror: mantenga un ojo abierto para la máscara de demonio que también fue un pedazo de pivote de Paisaje en el brillante horror japonés Classic OneBaba."
279,"Esta es una película bastante mala.La trama es una papilla sentimental.Supongo que los valores de producción están bien, la fotografía decente, la dirección discreta y todo eso.Mark Hamill era terrible.Nunca me he importado mucho por él, y esta película valida esa percepción.No es de extrañar que nunca haya aparecido realmente ningún tipo de carrera de sus películas de ""Star Wars"".Solo diré ""buh-bye, mark"" mientras se hunde en una oscuridad merecida.Por otro lado, una muy joven Annie Potts robó absolutamente el espectáculo.Mostró encanto, belleza y chuletas de actuación en una actuación.Recuerdo haberla visto en ""Texasville"" recientemente y tomando nota de su belleza.Es interesante verla desde diez años antes.De todos modos, a menos que esté interesado en la señorita Potts, huye de esta película gritando por las colinas."
280,"¡No me he reído tanto en mucho tiempo, o he visto una película tan incorporada! ¡Habla tan mal que me hizo reír! En primer lugar, estimaba que durante aproximadamente el 40 por ciento de la longitud de la película, no podía decir lo que estaba sucediendo, o incluso lo que estaba viendo. Solo puedo describir el trabajo de la cámara ya que el frenético se encuentra con LSD. Hay segmentos completos, minutos de largo, donde todo lo que puede ver son flashes borrosos y fragmentos de muro de cuevas, personas y otras cosas no identificables. Pasé la mitad de la película preguntándome a mis hijas adolescentes qué estaba sucediendo, pero no podían seguirlo mejor que yo. Luego, hay los momentos ""negros"", cuando en un esfuerzo por asustarnos (WOOOOOOOOO), las luces de todos se apagan y la La pantalla se convierte en negro de lanzamiento, y no solo significa por unos segundos. Creo que el más largo duró casi dos minutos. Supongo que la película en blanco es una forma de mantener los costos ... Sospecho que el ""Director"" había leído recientemente un libro sobre todos los ""Must-Do's"" para hacer una película de miedo, y decidí tirarlos todo, aproximadamente 20 veces Cada uno. Hay tres cosas buenas sobre esta película: 1 / ¡Es corto a 90 minutos (aunque todavía una hora y media demasiado larga!) 2 / Todos los personajes mueren (después de todo, es imposible preocuparse por alguno de ellos). 3 / Hubo una escena genuinamente buena, cuando el grupo está buscando el eje, bajaron, después de descubrir su cuerda caída en la parte inferior (vio que viene), se empuja una gran roca a través de la abertura, sellando. Yo estaba No esperando eso, y fue genuinamente relajado. Y lo que es con las primeras escenas de la fogata con el disparo, después del disparo, después de la panorámica de la panorámica de detrás de las luces del campamento. Juro que el Director usé casi el mismo disparo de aproximadamente 20 veces en 5 minutos. Y estoy seguro de que después de la primera muerte, exactamente las imágenes exactas de la sangre en el suelo de la cueva se usan dos veces en aproximadamente 90 segundos. Para en total, un Pieza de mierda de fabricación de cine. Voy a ver casi cualquier cosa, pero esto está cerca de donde dibujaría la línea."
281,"Bueno, eso estaba seguro de un desperdicio de talentos de Dave McKean, ¿verdad? No me malinterpretes: cuando se trata de diseño gráfico, Dave McKean puede ser el mejor del mundo en este momento. La mirada con textura en capas que puede lograr con solo unas pocas líneas de lápiz en papel áspero hacen que los esfuerzos de personas como Peter Greenaway y David Fincher se vean como lo que son: Hackwork. McKean ha sido el padrino de una revolución en el aspecto de los cómics, la película, incluso los anuncios de revistas que toman prestado el efecto de collage distintivo que se ha pionero. ¡Pero esta película? Es basura. Complete la basura. La historia, de Neil Gaiman, es, desafortunadamente, exactamente lo que Gaiman nos ha estado brindando desde que se dio cuenta de Clive Barker por primera vez: un paisaje de ensueño pseudo-mítico, sobreblemado, poblado por personajes que tienen títulos en todas las letras mayúsculas en lugar de nombres Todo es alegoría, hasta el punto de que es imposible obtener un drama humano, la emoción o la empatía de cualquier persona involucrada. Las personas hacen postulaciones concentradas, hablando en los enigmas que tienen en cuenta lo que Rosencrantz y Guildenstern pueden haber sonidos como si Tom Stoppard hubiera sufrido un golpe debilitante a medio camino a través de su composición. Realmente, Gaiman, supera a ti mismo. No eres un profeta. Eres una directiva de Poser.Mckean no ayuda, su ritmo es pobre, tomando completamente media hora para revelarse en realidad para la parcela picaresca principal, y luego simplemente proporcionando una secuencia desconectada de eventos, ninguno de ellos dio ningún peso. . Los monstruos no están amenazados porque no están orientados, simplemente arrojados a la pantalla. La trama no se compromete porque realmente no nos importa los pequeños protagonistas rancios. La mitad del diálogo, murmurada en los frentes de la camisa y las máscaras ubicuas, es ininteligible. Algunos de los visuales son bonitos, y estoy seguro de que los fanboys lo lamerán. Pena. Piense en la cantidad de trabajo realmente bueno, McKean podría haber producido si no se había quedado atrapado con este proyecto cojo. Endere: D / D-"
282,"I figure the company that made this movie wanted people to think of the Conan movies, but unfortunately for the ones who made this one it does just that You will be thinking, man the Conan movies were pretty coolthis one is totally boring and sucks The story, who cares? It isn't going to help you like this movie more or less as it just seems like a really cheap film Arnold, doesn't look like he belongs in this one, why he agreed to play the role is beyond me Well probably for the money I just love the monster in the water that turns out to be a machine Lame! This movie is just plain and simply terrible"
283,"Soy un fanático de Jean Harlow, porque tenía una calidad de estrella.No creo que sus películas sean buenas y ni siquiera pienso que era una buena actriz, pero ciertamente fue excelente en las comedias.Cada bit de comedia en la niña de Missouri es muy buena.Pero esta película es quizás más como una historia de amor.Jean Harlow es maravilloso en este y puede olvidar el resto del reparto: sus actuaciones no traen nada nuevo.Siempre me impresiona mucho para pensar que el hermoso cuerpo de Harlow era el de una mujer enferma.Bueno, en esta película, ella se ve hermosa."
284,"¡Esta es la peor película italiana de la historia, posiblemente la peor película de todos los tiempos!Por supuesto, Joe D'Amato no es un genio cinematográfico, pero muchas de sus películas son interesantes y buscadas.Desafortunadamente esto no es uno de ellos.Su cursi y aburrido .... Waaaaay aburrido.Si quieres una película para MST3K, consigue Troll 2, si quieres que una película ponga a alguien en un coma, ¡obtenga sangre profunda!"
285,"Obviamente, una serie de agentes no vieron más allá de los signos de dólar cuando registraron a sus clientes por este omage de 117 minutos * al complejo cortesano. La película podría haber estado bien, si los $ 1 millón se quedaron fuera de ella. . En serio. La cantidad del cheque no importa, la prostitución sigue siendo la prostitución y ninguna cantidad de ""conquistadores de amor todos"" puede cambiar el hecho de que ningún voto matrimonial ha querido implicar ""por más rico para más pobre, por el proxenete como en la fidelidad"". Imagine la historia de lo contrario, aunque: 2 niños, pelados, bordeados ""desesperados"" y completamente estúpidos. Chocan con un hombre de negocios rico. El matrimonio de los niños está tensado por los tiempos imperfectos y el hecho de que el marido es algo de un perdedor. Ingrese al Sr. TUXEDO, OOZING HAMA Y ESTABILIDAD: un imán virtual para el reloj biológico de tictac, y con él la tentación de la esposa, las tensiones, el suspenso. ¿A quién elegirá ella? Tal vez, bajo esas condiciones, en realidad podría preocuparme. Como está, francamente, el juego de Playboy egoístas y manipuladores de Redford termina el carácter simpático. Una mujer que se venderá es casi lo que un tipo merece, quién saldrá a su esposa. La proposición indecente hace que el marido sea un perdedor total, deficiente en cada característica masculina positiva, y hace que la esposa sea un estremecedor barato seducido por el dinero en lugar de confundido por otro amor potencial, una mujer desprovista del centro moral y el autoestima. Todo el impresionante talento (Actuar, Dirigir, Cinematografía) desperdiciado en esta película, y fue una cantidad impresionante, no podía salvarla de su línea de tono splashy-pero-demasiado basada en $ 1 millón. Si veo este pavo en una sola ducha nupcial, ¡lo voy a asar! (O tal vez cruzarlo con Titanic y lanzar la cinta en el océano!)"
286,"Me encantan las películas exóticas de ciencia ficción / fantasía, pero esta fue muy desagradable ver.Sugerencias e imágenes de abuso infantil, cuerpos mutilados (en vivo o muertos), otras escenas espantosas, agujeros de parcela, actuación aburrida logró que esta una experiencia de arrepentimiento, la idea básica de ingresar a la mente de otra persona, ni siquiera es nueva en las películas o la televisión (una externaLímites El episodio fue mejor explorando esta idea).Le di 4/10 ya que algunos efectos especiales fueron agradables."
287,"No se donde empezar.Quizás toda la idea de esta película fue solo un desastre esperando a suceder.No hay nada ligeramente humorístico de un secuestro.No sé qué fue más ofensivo: el tema ""El desempeño"" de David Arquette.Era como ver a un toro, me cortaron el pene, aunque creo que el toro se sintió mejor después.Los cineastas deben encontrar algo sobre Sinatra que no sea el secuestro de su hijo para mostrar (como, no lo sé, su talento como cantante !!!!).Su familia no debería tener que revivir ese horror.Gracias a Dios, solo se mostró en HBO y no se liberó en los teatros.Por favor, no vea esto si tiene algún respeto propio."
288,"El 'SNAFUPERMAN' de Friz Freleng es uno de los cortos de SNAFU privados menos privados.Una advertencia de la importancia de estudiar su manual de campo, 'SNAFUPERMAN' hace que el punto sea bastante torpemente.La historia, en la que la hada técnica, la primera clase hace de SNAFU en un sobrehumano para ayudarlo a ver el error de sus caminos, es predecible y no logrado.Los ""rumores"" cortos de SNAFU antes de Freleng, habían estado estallando con ideas y risas, pero aquí el director se abrochaba con un tema bastante aburrido y lucha por hacer un entretenido.Incluso alrededor de los tres minutos de duración, 'SNAFUPERMAN' parece arrastrar y, a diferencia de las mejores caricaturas de la serie, se siente como una película de instrucción primero y de entretenimiento en segundo lugar.Aunque fueron eliminados más rápidamente que las caricaturas de advertencia habituales, los shorts de SNAFU mantuvieron en gran medida un estándar sorprendentemente alto.'SNAFUPERMAN' es un reflejo del tipo de calidad que esperaría más razonablemente de un montón de mentes creativas de menos talento."
289,"Esta es, con mucho, la peor comedia británica, cómo lo hizo pasar el primer episodio, y mucho menos, el piloto está más allá de mí.La actuación es débil del personaje principal jugado por Ben Miller a Sarah Alexander (desde el fantástico acoplamiento) a través del reparto.Las líneas de la trama / historia eran unfumnas y muy muy predecibles usando muchas ideas desgastadas.Una serie muy dolorosa para soportar, pero tristemente se pone en una ranura entre dos espectáculos excelentes.Describiéndolo como la respuesta de Gran Bretaña a 'Conocer a los padres' hace un perezoso para ""conocer a los padres"" y es tan fresco como un zapato viejo que tiene una carrera con el perro de la familia.Gran Bretaña debería haber aprendido que los rasgos de otros países nunca trabajan al observar los tristes intentos de Estados Unidos al hacerlo."
